title,date,description,picture_filename,count_of_search_phrases,contains_money
"The Take: As mis­siles fly above, set­tler vi­o­lence surges in the West ...",17 Apr 2024,2 hours ago ... So­cial ­me­di­a plat­form X was blocked in Pak­istan since Feb­ru­ary elec­tions over ' ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzNNMekb0o2ytj6kmGBvsxeDP8GPptULU6ByqVNBgG4kT5Dthx3XXiKrX0&s&resize=770%2C513&quality=80,0,False
How well could Iran de­fend it­self against a po­ten­tial Is­raeli at­tack ...,17 Apr 2024,3 hours ago ... Iran­ian state ­me­di­a have said the sys­tem is in some as­pects su­pe­ri­or ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgtiLeznjfSDhVc3uMObR3eU4v92lzxyzE3OKebOPuKmfvgutrXaQzJeTe&s&resize=770%2C513&quality=80,0,False
"Break­ing News, World News and Video from Al Jazeera",17 Apr 2024,"6 hours ago ... News, analy­sis from the Mid­dle East & world­wide, mul­ti­­me­di­a & in­ter­ac­tives, opin­ions, doc­u­men­taries, pod­casts, long reads and broad­cast ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXzTcrfWX-tfcG7MIFDA2_0swrgSrDfo9HuHl-DeezkGWRZmi-alrCdNGi&s&resize=770%2C513&quality=80,0,False
Iran's Raisi re­it­er­ates warn­ings as Is­rael mulls re­sponse to air at­tack ...,17 Apr 2024,5 hours ago ... So­cial ­me­di­a plat­form X was blocked in Pak­istan since Feb­ru­ary elec­tions over ' ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxb84EprUqorgcO87vlx3kZ9jpptO_IxUbzCRuh65q_d43vspfmHWzi-Rw&s&resize=770%2C513&quality=80,0,False
Myan­mar's Aung San Suu Kyi moved to house ar­rest amid heat­wave ...,17 Apr 2024,10 hours ago ... Ma­jor Gen­er­al Zaw Min Tun told for­eign ­me­di­a on Tues­day that Aung San Suu Kyi and the pres­i­dent of her ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxEeb8w9SQrCp62IRqzxu2AKwtE5tzKmwoe6QuTCHO6A2vWXwBCImsbGI&s&resize=770%2C513&quality=80,0,False
Two ar­rest­ed for fir­ing at Bol­ly­wood star Salman Khan's Mum­bai home,16 Apr 2024,"1 day ago ... Amir Tam­ba, who was ac­quit­ted in Sarab­jit Singh's killing, is crit­i­cal­ly in­jured in La­hore shoot­ing, ­me­di­a re­ports say. Pub­lished On 15 Apr 2024 ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAuA_kCeTao6GyrT07fXC-5UmLa8Y0MiNXES5aUNpE3JiuCA813K6oTgk&s&resize=770%2C513&quality=80,0,False
Video cap­tures shoot­ing of Pales­tin­ian US­AID vet­er­an in Is­rael ...,16 Apr 2024,1 day ago ... Touhi was shot ten times af­ter an al­ter­ca­tion near his home in Jaf­fa and Is­raeli ­me­di­a ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTw4hadJ7mNvv9KhD6a-AyyY3IuQloEOkJa16NO2t4uPOUuoFLn0FFpqTCL&s&resize=770%2C513&quality=80,0,False
In­ter­na­tion­al sup­port for Tunisi­a's jailed op­po­si­tion leader ...,16 Apr 2024,"1 day ago ... Ghan­nouch­i's ar­rest and im­pris­on­ment fol­lowed years of “regime per­se­cu­tion of the po­lit­i­cal op­po­si­tion”, in­clud­ing po­lit­i­cal and ­me­di­a ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw3H_h8FQGigm_dwBrRoh9KsqQ7EAWUVFA4teVExHPj-4VJvbvUAXNNN4&s&resize=770%2C513&quality=80,0,False
Heavy rains kill 18 in Oman as flash floods lash UAE | Weath­er ...,16 Apr 2024,"1 day ago ... ... ­me­di­a. Flood­ing in UAE. Mean­while, heavy rain­fall also lashed the ... © 2024 Al Jazeera Me­dia Net­work.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsfVm1rOGmxHMsE-H0LFPKsw1SW6utGXp_u-XlzO-Tkw5lT5yrea-8d1Fl&s&resize=770%2C513&quality=80,0,False
Col­lege bas­ket­ball prodi­gy Caitlin Clark se­lect­ed first in WNBA draft ...,16 Apr 2024,"1 day ago ... Col­lege bas­ket­ball prodi­gy Caitlin Clark se­lect­ed first in WNBA draft. Clark, whose record scor­ing ex­ploits gar­nered huge ­me­di­a at­ten­tion in her ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkuPQtLNeAaGxS1J19wcuUb959Vf4Xd94RtjJNjsuta2cwmXPV-_8TOhpJ&s&resize=770%2C513&quality=80,0,False
Fire en­gulfs icon­ic stock ex­change build­ing in Den­mark's ...,16 Apr 2024,"1 day ago ... An an­nex of the Dan­ish par­lia­ment, which is lo­cat­ed in the block be­hind the old stock ex­change, was also or­dered to evac­u­ate, Dan­ish ­me­di­a ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWySXXl-awB-MOl0Mc7BPkPjA59FK8RzRtJD2SUzZXWq_97IK2Q8bYF-M&s&resize=770%2C513&quality=80,0,False
Tes­la to lay off more than 10 per­cent of staff world­wide amid falling ...,16 Apr 2024,"2 days ago ... Elec­trek, a ­me­di­a out­let fo­cused on elec­tric trans­porta­tion and sus­tain­able en­er­gy, first re­port­ed the lay­offs. The an­nounce­ment comes less than ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvEcCaZABkV9_Xy-lVw-g4WOh06k3vObcA9uG7SjmQKmkL4KNfK5VW19g&s&resize=770%2C513&quality=80,0,False
Venezuela and Hon­duras an­nounce ac­tions to protest Ecuador's ...,16 Apr 2024,"18 hours ago ... Mex­i­co re­leas­es footage of Ecuador po­lice storm­ing its em­bassy in Quito ... On the so­cial ­me­di­a plat­form X, Hon­duras's For­eign Re­la­tions Min­is­ter ...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeb_I9otfEgZJE9k3t0UgystbD-xsItxsh4M6J6MvE1FC4OCLuuTtN9GU&s&resize=770%2C513&quality=80,0,False
Sev­en ju­rors seat­ed on the sec­ond day of Trump's New York hush ...,17 Apr 2024,16 hours ago ... Keep read­ing · A his­toric tri­al · Ques­tions of im­par­tial­i­ty · So­cial ­me­di­a posts un­der scruti­ny · Trump chas­tised in court · Sev­en ju­rors set.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrjdCEojvzjfHO6hCVIbgRem07XosqiR082-PbaWiFFSP_UixSPBjRltg&s&resize=770%2C513&quality=80,0,False
Thou­sands protest in Geor­gia over con­tentious 'for­eign agents' bill ...,16 Apr 2024,1 day ago ... ... ­me­di­a or­gan­i­sa­tions and in­di­vid­ual jour­nal­ists who re­ceive for­eign fund­ing. ... © 2024 Al Jazeera Me­dia Net­work.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpkHyo5BvpWDrDg8KNWDAwhBsKckHqK2sufboOuQc2MyZU3trWVeHLwrI4&s&resize=770%2C513&quality=80,0,False
